MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
4,FAIL
5,LIVE
7,FAIL
9,FAIL
11,FAIL
12,FAIL
52,FAIL
53,LIVE
57,FAIL
58,FAIL
73,FAIL
74,FAIL
76,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,LIVE
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,LIVE
96,FAIL
97,FAIL
104,FAIL
110,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,FAIL
119,LIVE
120,FAIL
121,LIVE
122,FAIL
123,FAIL
124,FAIL
127,FAIL
129,FAIL
130,FAIL
131,FAIL
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,FAIL
139,FAIL
140,LIVE
141,FAIL
142,LIVE
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
160,FAIL
161,FAIL
162,FAIL
164,FAIL
169,LIVE
170,FAIL
171,LIVE
172,LIVE
174,FAIL
175,FAIL
176,LIVE
177,FAIL
178,FAIL
183,FAIL
184,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,FAIL
192,FAIL
200,FAIL
201,LIVE
202,FAIL
203,LIVE
204,LIVE
205,FAIL
206,FAIL
207,LIVE
208,LIVE
209,FAIL
210,FAIL
211,FAIL
212,FAIL
213,LIVE
214,FAIL
215,FAIL
216,FAIL
217,FAIL
218,FAIL
220,FAIL
221,FAIL
222,FAIL
