CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
44,1,1,6,8,8,6,3,3,0,1587,8
83,2,1,1,8,8,7,7,3,0,1586,16
83,3,1,0,0,0,7,7,3,0,1586,16
133,4,1,3,10,10,10,13,3,0,1583,26
180,5,1,0,10,10,10,19,3,0,1583,36
228,6,1,1,10,10,11,25,3,0,1582,46
242,7,1,3,3,3,14,28,3,0,1579,49
251,8,1,0,2,2,14,30,3,0,1579,51
261,9,1,0,2,2,14,32,3,0,1579,53
317,10,1,0,12,12,14,40,3,0,1579,65
345,11,1,2,5,5,16,40,5,0,1577,70
459,12,1,3,18,18,19,40,9,0,1574,88
466,13,1,2,2,2,21,40,11,0,1572,90
1917,14,1,4,12,12,25,41,15,0,1568,102
3429,15,1,0,12,12,25,42,19,0,1568,114
4121,16,1,15,52,52,40,53,24,0,1553,166
4943,17,1,10,58,58,50,62,28,0,1543,224
4975,18,1,1,7,7,51,63,28,0,1542,231
4999,19,1,1,6,6,52,64,28,0,1541,237
6423,20,1,123,232,232,175,147,65,3,1418,469
7815,21,1,67,232,232,242,294,105,6,1351,701
7954,22,1,1,25,25,243,294,111,6,1350,726
9285,23,1,1,230,230,244,439,148,9,1349,956
10873,24,1,18,235,235,262,600,191,13,1331,1191
10873,25,1,0,0,0,262,600,191,13,1331,1191
10937,26,1,6,14,14,268,606,194,13,1325,1205
10981,27,1,3,14,14,271,611,201,13,1322,1219
11025,28,1,2,14,14,273,611,209,13,1320,1233
11075,29,1,0,16,16,273,617,214,13,1320,1249
18300,30,1,35,788,788,308,629,237,13,1285,2037
25044,31,1,41,774,774,349,649,268,13,1244,2811
31778,32,1,60,774,774,409,670,342,13,1184,3585
39418,33,1,12,805,805,421,692,387,13,1172,4390
46998,34,1,0,805,805,421,713,430,13,1172,5195
54758,35,1,10,805,805,431,736,480,13,1162,6000
61899,36,1,4,774,774,435,757,574,13,1158,6774
69682,37,1,8,799,799,443,763,620,13,1150,7573
69990,38,1,1,17,17,444,769,626,13,1149,7590
70009,39,1,2,3,3,446,771,626,13,1147,7593
70015,40,1,0,1,1,446,771,626,13,1147,7594
70020,41,1,0,1,1,446,771,626,13,1147,7595
70032,42,1,1,2,2,447,772,626,13,1146,7597
70095,43,1,1,6,6,448,774,627,13,1145,7603
70114,44,1,0,4,4,448,774,628,13,1145,7607
70220,45,1,0,18,18,448,777,632,13,1145,7625
70240,46,1,2,4,4,450,779,633,13,1143,7629
70295,47,1,6,11,11,456,785,634,13,1137,7640
70314,48,1,0,4,4,456,785,635,13,1137,7644
70325,49,2,0,3,3,456,788,635,13,1137,7647
70389,50,2,1,10,10,457,794,635,13,1136,7657
70400,51,2,1,3,3,458,797,635,13,1135,7660
70504,52,2,0,18,18,458,803,639,13,1135,7678
74573,53,2,23,134,134,481,823,651,18,1112,7812
76298,54,2,3,10,10,484,826,652,18,1109,7822
78384,55,2,5,93,93,489,840,659,21,1104,7915
79236,56,2,0,52,52,489,850,661,21,1104,7967
81366,57,2,17,96,96,506,870,671,22,1087,8063
85248,58,2,41,176,176,547,915,688,25,1046,8239
89108,59,2,15,178,178,562,959,715,28,1031,8417
92236,60,2,4,149,149,566,979,726,30,1027,8566
93917,61,2,0,82,82,566,993,734,31,1027,8648
93945,62,2,2,6,6,568,993,737,31,1025,8654
93978,63,2,3,7,7,571,996,737,31,1022,8661
95669,64,2,0,223,223,571,1131,770,34,1022,8884
97593,65,2,0,233,233,571,1290,810,38,1022,9117
99555,66,2,0,233,233,571,1449,850,42,1022,9350
99756,67,2,2,38,38,573,1453,878,42,1020,9388
108569,68,2,0,805,805,573,1475,918,42,1020,10193
108618,69,2,1,6,6,574,1476,919,42,1019,10199
108697,70,2,0,9,9,574,1480,920,42,1019,10208
108746,71,2,1,6,6,575,1481,921,42,1018,10214
108823,72,2,0,4,4,575,1481,922,42,1018,10218
108845,73,2,0,4,4,575,1481,923,42,1018,10222
108987,74,2,0,20,20,575,1487,930,42,1018,10242
111580,75,3,3,100,100,578,1510,941,43,1015,10342
115832,76,3,10,174,174,588,1551,963,46,1005,10516
119639,77,3,1,139,139,589,1570,971,49,1004,10655
121535,78,3,0,230,230,589,1711,1009,52,1004,10885
121765,79,3,0,38,38,589,1715,1037,52,1004,10923
121773,80,3,0,1,1,589,1715,1037,52,1004,10924
121788,81,3,1,2,2,590,1716,1037,52,1003,10926
124189,82,4,0,12,12,590,1717,1041,52,1003,10938
128316,83,4,0,142,142,590,1738,1048,55,1003,11080
128424,84,4,2,13,13,592,1740,1048,55,1001,11093
138006,85,4,23,70,70,615,1742,1070,58,978,11163
138165,86,5,0,20,20,615,1748,1076,58,978,11183
162826,87,5,104,141,141,719,1748,1198,63,874,11324
173583,88,5,11,109,109,730,1748,1306,64,863,11433
181939,89,5,0,107,107,730,1748,1412,65,863,11540
192029,90,5,0,113,113,730,1748,1524,66,863,11653
199949,91,5,0,70,70,730,1748,1593,67,863,11723
223701,92,6,16,156,156,746,1748,1748,68,847,11879
267761,93,6,2,155,155,748,1748,1901,70,845,12034
307197,94,6,0,141,141,748,1748,2041,71,845,12175
352412,95,7,10,147,147,758,1748,2187,72,835,12322
402228,96,7,0,140,140,758,1748,2326,73,835,12462
464114,97,7,0,147,147,758,1748,2472,74,835,12609
580504,98,7,59,223,223,817,1748,2694,75,776,12832
678767,99,7,0,225,225,817,1748,2917,77,776,13057
743399,100,7,1,141,141,818,1748,3057,78,775,13198
760901,101,7,17,144,144,835,1775,3064,82,758,13342
776120,102,8,0,137,137,835,1801,3073,86,758,13479
857008,103,9,0,153,153,835,1801,3225,87,758,13632
870265,104,13,3,113,113,838,1826,3235,96,755,13745
872047,105,13,0,17,17,838,1831,3241,97,755,13762
960817,106,14,0,141,141,838,1831,3380,99,755,13903
1154661,107,18,24,256,256,862,1831,3634,101,731,14159
1230116,108,18,0,140,140,862,1831,3773,102,731,14299
1317557,109,21,0,147,147,862,1831,3919,103,731,14446
1411695,110,23,0,140,140,862,1831,4058,104,731,14586
1522217,111,27,17,144,144,879,1831,4201,105,714,14730
1601200,112,113,2,109,109,881,1831,4287,128,712,14839
1699324,113,116,0,130,130,881,1831,4415,130,712,14969
1825508,114,133,0,141,141,881,1831,4551,135,712,15110
1964108,115,134,1,142,142,882,1831,4642,185,711,15252
2195266,116,134,11,266,266,893,1831,4888,206,700,15518
2335536,117,135,0,157,157,893,1831,5022,228,700,15675
2593665,118,141,1,224,224,894,1831,5081,392,699,15899
2789813,119,152,0,153,153,894,1831,5087,539,699,16052
2989600,120,158,0,140,140,894,1831,5092,674,699,16192
3004472,121,166,2,12,12,896,1831,5092,687,697,16204
3214184,122,172,3,150,150,899,1831,5097,831,694,16354
3236804,123,298,4,44,44,903,1831,5101,868,690,16398
3581696,124,424,1,143,143,904,1831,5118,992,689,16541
3583832,125,2004,0,4,4,904,1831,5118,994,689,16545
4061834,126,8955,0,72,72,904,1831,5189,996,689,16617
