CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
109,1,1,8,18,18,8,1,7,0,82,18
220,2,1,0,18,18,8,2,14,0,82,36
314,3,1,0,18,18,8,3,21,0,82,54
407,4,1,0,18,18,8,4,28,0,82,72
3278,5,2,7,16,16,15,4,35,0,75,88
5927,6,2,3,14,14,18,4,42,0,72,102
8562,7,2,0,15,15,18,4,49,0,72,117
10972,8,2,0,14,14,18,4,56,0,72,131
11173,9,6,4,40,40,22,4,68,0,68,171
11353,10,6,11,27,27,33,10,73,0,57,198
11353,11,10,0,0,0,33,10,73,0,57,198
11353,12,25,0,0,0,33,10,73,0,57,198
13818,13,233,0,14,14,33,10,80,0,57,212
15473,14,253,0,10,10,33,10,85,0,57,222
