CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
869,1,1,4,5,5,4,4,0,0,33,5
1719,2,2,0,5,5,4,8,0,0,33,10
2609,3,2,0,5,5,4,12,0,0,33,15
3257,4,2,1,4,4,5,15,0,0,32,19
4093,5,2,0,5,5,5,19,0,0,32,24
4843,6,2,0,5,5,5,23,0,0,32,29
5600,7,6,0,5,5,5,27,0,0,32,34
6293,8,6,2,4,4,7,31,0,0,30,38
7476,9,10,6,8,8,13,39,0,0,24,46
10729,10,20,12,19,19,25,58,0,0,12,65
13032,11,59,12,14,14,37,72,0,0,0,79
