TestNo,MutantNo
1,34
1,35
1,36
1,37
1,38
1,39
1,120
1,121
1,122
1,123
1,124
1,125
1,126
1,127
1,128
1,129
1,130
1,131
2,34
2,35
2,36
2,37
2,38
2,39
2,120
2,121
2,122
2,123
2,124
2,125
2,126
2,127
2,128
2,129
2,130
2,154
2,155
2,156
2,157
2,158
2,159
2,160
2,161
2,162
2,163
2,164
2,165
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,52
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,130
3,149
3,150
3,151
3,152
3,153
4,34
4,35
4,36
4,37
4,38
4,39
4,120
4,121
4,122
4,123
4,124
4,125
4,126
4,127
4,128
4,129
4,130
4,131
4,166
4,167
4,168
4,169
4,170
4,171
4,172
4,173
4,184
4,185
4,186
4,187
4,188
4,189
4,192
4,193
4,194
4,203
4,204
4,205
4,214
4,215
4,216
4,217
4,218
4,219
4,221
4,242
4,243
4,244
4,245
4,246
4,247
4,248
4,259
4,260
4,261
4,262
4,263
4,264
4,266
4,303
4,316
4,317
4,318
4,319
4,320
4,321
4,322
4,323
4,324
4,325
5,34
5,35
5,36
5,37
5,38
5,39
5,120
5,121
5,122
5,123
5,124
5,125
5,126
5,127
5,128
5,129
5,130
5,166
5,167
5,168
5,169
5,170
5,171
5,172
5,173
5,184
5,185
5,186
5,187
5,188
5,189
5,192
5,193
5,194
5,203
5,204
5,205
5,214
5,215
5,242
5,243
5,244
5,245
5,246
5,247
5,248
5,259
5,260
5,261
5,262
5,263
5,264
5,266
5,303
5,316
5,317
5,318
5,319
5,320
5,321
5,322
5,323
5,324
5,325
6,34
6,35
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,50
6,52
6,58
6,59
6,60
6,61
6,62
6,63
6,64
6,65
6,66
6,67
6,68
6,69
6,70
6,71
6,72
6,73
6,74
6,76
6,77
6,78
6,79
6,80
6,81
6,82
6,83
6,116
6,117
6,118
6,119
6,120
6,121
6,122
6,123
6,124
6,125
6,126
6,127
6,128
6,129
6,130
6,149
6,150
6,151
6,152
6,153
7,34
7,35
7,36
7,37
7,38
7,39
7,120
7,121
7,122
7,123
7,124
7,125
7,126
7,127
7,128
7,129
7,130
7,133
7,134
7,135
7,136
7,137
7,138
7,139
7,140
7,141
7,142
7,143
7,144
7,145
7,146
7,147
7,148
7,149
7,150
7,151
7,152
7,153
8,34
8,35
8,36
8,37
8,38
8,39
8,120
8,121
8,122
8,123
8,124
8,125
8,126
8,127
8,128
8,129
8,130
8,131
8,166
8,167
8,168
8,169
8,170
8,171
8,172
8,173
8,184
8,185
8,186
8,187
8,188
8,189
8,192
8,193
8,194
8,203
8,204
8,205
8,214
8,215
8,216
8,217
8,218
8,219
8,221
8,222
8,242
8,243
8,244
8,245
8,246
8,247
8,248
8,259
8,260
8,261
8,262
8,263
8,264
8,266
8,303
8,316
8,317
8,318
8,319
8,320
8,321
8,322
8,323
8,324
8,325
9,34
9,35
9,36
9,37
9,38
9,39
9,120
9,121
9,122
9,123
9,124
9,125
9,126
9,127
9,128
9,129
9,130
9,131
9,132
9,166
9,167
9,168
9,169
9,170
9,171
9,172
9,173
9,184
9,185
