TestNo,MutantNo
1,36
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
2,36
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
3,36
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
4,36
4,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
5,36
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
6,36
6,47
6,48
6,49
6,50
6,51
6,52
6,53
6,54
6,55
6,56
6,57
6,58
6,59
7,36
7,47
7,48
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,56
7,57
7,58
7,59
8,36
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
9,36
9,47
9,48
9,49
9,50
9,51
9,52
9,53
9,54
9,55
9,56
9,57
9,58
9,59
10,36
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
10,56
10,57
10,58
10,59
11,36
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,54
11,55
11,56
11,57
11,58
11,59
12,120
12,121
12,122
13,120
13,121
13,122
13,123
13,153
13,154
13,155
13,156
14,120
14,121
14,122
15,120
15,121
15,122
16,120
16,121
16,122
16,194
16,195
16,196
16,197
17,120
17,121
17,122
17,123
17,153
17,169
17,170
17,171
17,172
17,173
18,120
18,121
18,122
19,103
20,103
21,221
21,222
21,228
23,36
23,47
23,48
23,49
23,50
23,51
23,52
23,53
23,54
23,55
23,56
23,57
23,58
23,59
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
24,9
24,10
24,11
24,12
24,36
24,47
24,48
24,49
24,50
24,51
24,52
24,53
24,54
24,55
24,56
24,57
24,58
24,59
25,120
25,121
25,122
25,123
25,124
25,125
25,126
25,127
25,153
25,154
25,155
25,156
25,157
26,120
26,121
26,122
26,123
26,153
27,120
27,121
27,122
27,123
27,124
27,125
27,126
27,145
27,147
27,148
27,149
27,150
27,153
27,154
27,155
27,156
27,157
28,120
28,121
28,122
28,123
28,124
28,125
28,126
28,145
28,146
28,147
28,148
28,149
28,150
28,151
28,152
28,153
28,154
28,155
28,156
28,157
29,120
29,121
29,122
29,123
29,124
29,125
29,126
29,127
29,145
29,147
29,148
29,149
29,150
29,153
29,154
29,155
29,156
29,157
30,120
30,121
30,122
30,142
30,143
30,144
31,120
31,121
31,122
31,123
31,124
31,125
31,126
31,127
31,128
31,129
31,130
31,131
31,132
31,133
31,134
31,136
31,153
31,154
31,155
31,156
31,157
32,120
32,121
32,122
33,120
33,121
33,122
33,123
33,124
33,125
33,126
33,127
33,128
33,153
33,154
33,155
33,156
33,157
34,120
34,121
34,122
34,123
34,145
34,147
34,148
34,149
34,150
34,153
34,154
34,155
34,156
34,157
35,120
35,121
35,122
35,123
35,153
35,154
36,120
36,121
36,122
36,123
36,153
36,154
37,120
37,121
37,122
37,123
37,124
37,125
37,126
37,133
37,134
37,135
37,145
37,146
37,147
37,148
37,149
37,150
37,151
37,152
37,153
37,154
37,155
37,156
37,157
38,120
38,121
38,122
39,120
39,121
39,122
40,120
40,121
40,122
41,120
41,121
41,122
41,145
41,146
41,147
41,148
41,149
41,150
41,151
41,152
41,158
41,159
41,160
41,161
41,162
41,163
41,164
42,120
42,121
42,122
42,145
42,147
42,148
42,149
42,150
42,158
42,159
42,160
42,161
42,162
42,163
43,120
43,121
43,122
43,145
43,147
43,148
43,149
43,150
43,158
43,159
43,160
43,161
43,162
43,163
44,120
44,121
44,122
44,194
44,195
44,196
44,197
45,120
45,121
45,122
45,123
45,124
45,125
45,126
45,127
45,153
45,154
45,155
45,156
45,157
45,169
45,170
45,171
45,172
45,173
45,194
45,195
45,196
45,197
45,198
46,120
46,121
46,122
46,123
46,153
46,169
46,170
46,171
46,172
46,173
46,194
46,195
46,196
46,197
46,198
47,120
47,121
47,122
47,123
47,124
47,125
47,126
47,145
47,147
47,148
47,149
47,150
47,153
47,154
47,155
47,156
47,157
47,169
47,170
47,171
47,172
47,173
47,194
47,195
47,196
47,197
47,198
48,120
48,121
48,122
48,123
48,124
48,125
48,126
48,127
48,145
48,147
48,148
48,149
48,150
48,153
48,154
48,155
48,156
48,157
48,169
48,170
48,171
48,172
48,173
48,194
48,195
48,196
48,197
48,198
49,120
49,121
49,122
49,123
49,153
49,154
49,155
49,156
49,169
49,170
49,171
49,172
49,173
49,194
49,195
49,196
49,197
49,198
50,120
50,121
50,122
50,123
50,124
50,125
50,126
50,127
50,128
50,129
50,130
50,131
50,132
50,133
50,134
50,136
50,153
50,154
50,155
50,156
50,157
50,169
50,170
50,171
50,172
50,173
50,178
50,179
50,180
50,182
50,183
50,185
50,186
50,194
50,195
50,196
50,197
50,198
51,120
51,121
51,122
52,120
52,121
52,122
52,123
52,124
52,125
52,126
52,127
52,128
52,153
52,154
52,155
52,156
52,157
52,169
52,170
52,171
52,172
52,173
52,194
52,195
52,196
52,197
52,198
53,120
53,121
53,122
53,123
53,145
53,147
53,148
53,149
53,150
53,153
53,154
53,155
53,156
53,157
53,169
53,170
53,171
53,172
53,173
53,194
53,195
53,196
53,197
53,198
54,120
54,121
54,122
54,194
54,195
54,196
54,197
55,120
55,121
55,122
56,120
56,121
56,122
57,120
57,121
57,122
58,120
58,121
58,122
58,145
58,146
58,147
58,148
58,149
58,150
58,151
58,152
58,158
58,159
58,160
58,161
58,162
58,163
58,164
59,120
59,121
59,122
60,120
60,121
60,122
61,120
61,121
61,122
61,145
61,147
61,148
61,149
61,150
61,158
61,159
61,160
61,161
61,162
61,163
62,120
62,121
62,122
62,145
62,147
62,148
62,149
62,150
62,158
62,159
62,160
62,161
62,162
62,163
63,120
63,121
63,122
63,169
63,170
63,171
63,172
64,120
64,121
64,122
65,120
65,121
65,122
65,123
65,124
65,125
65,126
65,127
65,153
65,154
65,155
65,156
65,157
65,169
65,170
65,171
65,172
65,173
66,120
66,121
66,122
66,123
66,124
66,125
66,126
66,145
66,147
66,148
66,149
66,150
66,153
66,154
66,155
66,156
66,157
66,169
66,170
66,171
66,172
66,173
67,120
67,121
67,122
67,123
67,124
67,125
67,126
67,127
67,145
67,147
67,148
67,149
67,150
67,153
67,154
67,155
67,156
67,157
67,169
67,170
67,171
67,172
67,173
68,120
68,121
68,122
68,123
68,153
68,154
68,155
68,156
68,169
68,170
68,171
68,172
68,173
69,120
69,121
69,122
69,142
69,143
69,144
70,120
70,121
70,122
70,123
70,124
70,125
70,126
70,127
70,128
70,153
70,154
70,155
