CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
5059,1,1,67,105,105,67,42,25,0,112,105
5238,2,1,8,31,31,75,59,25,0,104,136
5274,3,1,2,7,7,77,62,25,0,102,143
5279,4,1,1,1,1,78,63,25,0,101,144
8726,5,1,16,95,95,94,111,48,0,85,239
8769,6,1,2,6,6,96,114,48,0,83,245
12421,7,2,1,97,97,97,163,71,0,82,342
16133,8,2,0,105,105,97,205,96,0,82,447
19627,9,2,0,95,95,97,254,119,0,82,542
24111,10,2,11,106,106,108,307,147,0,71,648
28344,11,2,1,105,105,109,351,170,0,70,753
32496,12,2,1,104,104,110,397,200,0,69,857
36987,13,2,0,105,105,110,439,225,0,69,962
41793,14,3,6,110,110,116,490,252,0,63,1072
48511,15,3,22,130,130,138,534,296,0,41,1202
54264,16,4,5,113,113,143,578,323,0,36,1315
59015,17,4,0,105,105,143,625,347,0,36,1420
64680,18,7,0,108,108,143,675,380,0,36,1528
64885,19,8,1,31,31,144,692,380,0,35,1559
69768,20,55,0,105,105,144,734,405,0,35,1664
75729,21,69,6,126,126,150,780,437,0,29,1790
