TestNo,MutantNo
1,9
1,113
1,114
1,115
1,116
2,9
2,113
2,114
2,115
2,116
3,9
3,10
3,11
3,113
3,114
4,9
4,69
4,70
4,71
4,72
4,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,84
4,85
4,86
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,113
4,114
4,115
4,116
4,119
5,9
5,60
5,99
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,119
6,9
6,10
6,11
6,115
6,116
7,9
7,10
7,11
7,14
7,115
7,116
8,9
8,10
8,11
8,115
8,116
9,9
9,10
9,11
9,69
9,70
9,71
9,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,80
9,81
9,82
9,83
9,84
9,85
9,86
9,87
9,88
9,89
9,90
9,91
9,92
9,93
9,94
9,95
9,96
9,97
9,98
9,115
9,116
10,9
10,10
10,11
10,115
10,116
11,9
11,10
11,11
11,31
11,44
11,45
11,46
11,48
11,115
11,116
12,9
12,117
12,118
12,119
13,9
13,10
13,11
13,53
13,115
13,116
14,9
14,99
14,117
14,118
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,62
15,63
15,64
15,65
15,66
15,67
15,68
15,99
15,113
15,114
15,115
15,116
15,119
16,9
16,99
16,101
16,102
16,103
16,104
16,105
16,106
16,107
16,108
16,109
16,110
16,111
16,112
16,117
16,118
16,119
17,9
17,115
17,116
18,9
18,113
18,114
19,9
19,113
19,114
19,115
19,116
20,9
20,12
20,115
20,116
21,9
21,10
21,11
21,31
21,38
21,44
21,45
21,46
21,47
21,48
21,115
21,116
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,62
22,63
22,64
22,65
22,66
22,67
22,68
22,99
22,101
22,102
22,103
22,104
22,105
22,106
22,107
22,108
22,109
22,110
22,111
22,112
22,113
22,114
22,115
22,116
22,119
23,9
23,10
23,11
23,53
23,54
23,55
23,60
23,115
23,116
24,9
24,53
24,54
24,55
24,60
25,9
25,61
25,115
25,116
25,117
25,118
25,119
26,9
26,60
26,99
26,117
26,118
26,119
27,9
27,10
27,11
27,113
27,114
27,115
27,116
28,9
28,10
28,115
28,116
29,9
29,99
30,9
30,69
30,70
30,71
30,72
30,73
30,74
30,75
30,76
30,77
30,78
30,79
30,80
30,81
30,82
30,83
30,84
30,85
30,86
30,87
30,88
30,89
30,90
30,91
30,92
30,93
30,94
30,95
30,96
30,97
30,98
30,100
30,101
30,102
30,103
30,104
30,105
30,106
30,107
30,108
30,109
30,110
30,111
30,112
30,115
30,116
31,1
31,2
31,3
31,4
31,5
31,6
31,7
31,8
31,9
31,62
31,63
31,64
31,65
31,66
31,67
31,68
31,99
32,9
32,10
32,11
32,15
32,16
32,17
32,18
32,19
32,29
33,9
33,99
33,119
34,9
34,10
34,11
34,15
34,16
34,17
34,18
34,19
34,20
34,21
34,22
34,23
34,24
34,25
34,26
34,27
34,28
34,29
35,101
35,102
35,103
35,104
35,105
36,9
36,53
37,9
37,10
37,11
37,15
37,16
37,17
37,18
37,19
37,29
38,9
38,115
38,116
38,117
38,118
38,119
39,9
39,115
39,116
39,117
39,118
39,119
40,9
40,115
40,116
40,117
40,118
40,119
41,9
41,115
41,116
41,117
41,118
41,119
42,9
42,115
42,116
42,117
42,118
42,119
43,9
43,115
43,116
43,117
43,118
43,119
44,9
45,9
45,10
45,11
45,12
45,13
45,15
45,16
45,17
45,18
45,19
45,20
45,21
45,22
45,23
45,24
45,25
45,26
45,27
45,28
45,29
45,60
45,99
45,101
45,102
45,103
45,104
45,105
45,106
45,107
45,108
45,109
45,110
45,111
45,112
45,113
45,114
46,9
46,69
46,70
46,71
46,72
46,73
46,74
46,75
46,76
46,77
46,78
46,79
46,80
46,81
46,82
46,83
46,84
46,85
46,86
46,87
46,88
46,89
46,90
46,91
46,92
46,93
46,94
46,95
46,96
46,97
46,98
46,115
46,116
47,9
48,9
48,31
49,9
49,113
49,114
49,115
49,116
50,9
50,14
51,9
51,10
51,11
51,115
51,116
52,9
52,10
52,11
53,1
53,2
