CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
78,1,1,1,5,5,1,1,0,0,106,5
164,2,1,0,5,5,1,2,0,0,106,10
231,3,1,2,5,5,3,4,1,0,104,15
760,4,1,16,37,37,19,13,9,0,88,52
937,5,1,8,16,16,27,14,19,0,80,68
979,6,1,0,5,5,27,15,19,0,80,73
1058,7,1,1,6,6,28,17,19,0,79,79
1096,8,1,2,5,5,30,20,19,0,77,84
1457,9,1,6,35,35,36,37,25,0,71,119
1503,10,1,0,5,5,36,38,25,0,71,124
1645,11,1,2,10,10,38,41,25,0,69,134
1694,12,1,2,4,4,40,43,27,0,67,138
1771,13,1,1,6,6,41,44,28,0,66,144
1832,14,1,0,4,4,41,44,30,0,66,148
2137,15,1,5,22,22,46,47,35,0,61,170
2383,16,1,0,17,17,46,50,45,0,61,187
2424,17,1,2,3,3,48,52,46,0,59,190
2445,18,1,0,3,3,48,54,47,0,59,193
2497,19,1,0,5,5,48,55,47,0,59,198
2535,20,1,0,4,4,48,55,47,0,59,202
2711,21,1,3,12,12,51,61,47,0,56,214
3301,22,1,2,34,34,53,64,61,0,54,248
3365,23,1,3,9,9,56,66,63,0,51,257
3403,24,1,0,5,5,56,66,65,0,51,262
3460,25,1,1,7,7,57,69,67,0,50,269
3500,26,1,0,6,6,57,72,70,0,50,275
3562,27,1,0,7,7,57,76,71,0,50,282
3597,28,1,0,4,4,57,76,71,0,50,286
3609,29,1,0,2,2,57,76,73,0,50,288
3955,30,1,2,46,46,59,76,89,0,48,334
4116,31,1,4,17,17,63,81,91,0,44,351
4161,32,1,3,9,9,66,82,94,0,41,360
4175,33,1,0,3,3,66,83,96,0,41,363
4450,34,1,10,18,18,76,91,103,1,31,381
4485,35,1,2,5,5,78,91,106,1,29,386
4499,36,1,0,2,2,78,91,106,1,29,388
4547,37,1,1,9,9,79,92,108,1,28,397
4574,38,1,0,6,6,79,94,110,1,28,403
4602,39,1,0,6,6,79,96,112,1,28,409
4631,40,1,0,6,6,79,98,114,1,28,415
4661,41,1,0,6,6,79,100,116,1,28,421
4699,42,1,0,6,6,79,101,118,1,28,427
4744,43,1,0,6,6,79,102,120,1,28,433
4751,44,1,0,1,1,79,103,120,1,28,434
5091,45,1,0,36,36,79,108,138,2,28,470
5290,46,1,0,33,33,79,111,144,2,28,503
5294,47,1,0,1,1,79,111,144,2,28,504
5302,48,1,0,2,2,79,111,144,2,28,506
5340,49,2,0,5,5,79,112,144,2,28,511
5354,50,2,0,2,2,79,112,144,2,28,513
5393,51,2,0,5,5,79,113,144,2,28,518
5413,52,2,0,3,3,79,113,144,2,28,521
5587,53,2,0,20,20,79,118,148,2,28,541
5789,54,2,3,13,13,82,121,150,2,25,554
6270,55,2,0,49,49,82,130,166,2,25,603
6308,56,2,0,5,5,82,132,166,2,25,608
6404,57,2,0,11,11,82,133,166,2,25,619
6684,58,2,1,18,18,83,137,176,3,24,637
6841,59,2,0,20,20,83,142,181,3,24,657
7009,60,2,1,22,22,84,145,188,3,23,679
7327,61,3,0,18,18,84,147,198,3,23,697
7371,62,3,0,2,2,84,147,199,3,23,699
7414,63,3,2,4,4,86,149,199,3,21,703
7516,64,4,1,7,7,87,151,201,3,20,710
8021,65,4,0,33,33,87,156,220,4,20,743
8083,66,5,0,6,6,87,158,222,4,20,749
8141,67,5,0,7,7,87,163,222,4,20,756
8191,68,10,0,5,5,87,167,223,4,20,761
