TestNo,MutantNo
1,1
1,2
1,3
1,10
1,11
1,12
1,37
1,38
1,39
1,41
1,42
1,43
1,44
1,45
1,47
1,48
1,49
1,50
1,51
1,53
1,54
1,55
1,79
1,91
1,92
1,96
1,97
1,98
1,128
2,1
2,2
2,3
2,10
2,11
2,12
2,37
2,38
2,39
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,53
2,54
2,55
2,79
2,91
2,92
2,96
2,97
2,98
2,128
3,1
3,2
3,3
3,10
3,11
3,12
3,28
3,37
3,38
3,39
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,53
3,54
3,55
3,79
3,91
3,92
3,96
3,97
3,98
3,128
4,1
4,2
4,3
4,10
4,11
4,12
4,37
4,38
4,39
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,53
4,54
4,55
4,79
4,91
4,92
4,96
4,97
4,98
4,128
5,1
5,2
5,3
5,10
5,11
5,12
5,35
5,37
5,38
5,39
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,53
5,54
5,55
5,79
5,91
5,92
5,96
5,97
5,98
5,128
6,1
6,2
6,3
6,10
6,11
6,12
6,25
6,37
6,38
6,39
6,41
6,42
6,43
6,44
6,45
6,47
6,48
6,49
6,50
6,51
6,53
6,54
6,55
6,79
6,91
6,92
6,96
6,97
6,98
6,128
7,1
7,2
7,3
7,10
7,11
7,12
7,35
7,37
7,38
7,39
7,41
7,42
7,43
7,44
7,45
7,46
7,47
7,48
7,49
7,50
7,51
7,53
7,54
7,55
7,79
7,91
7,92
7,96
7,97
7,98
7,128
8,1
8,2
8,3
8,10
8,11
8,12
8,31
8,37
8,38
8,39
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,53
8,54
8,55
8,79
8,91
8,92
8,96
8,97
8,98
8,128
9,1
9,2
9,3
9,10
9,11
9,12
9,37
9,38
9,39
9,41
9,42
9,43
9,44
9,45
9,47
9,48
9,49
9,50
9,51
9,53
9,54
9,55
9,79
9,91
9,92
9,96
9,97
9,98
9,128
10,1
10,2
10,3
10,10
10,11
10,12
10,15
10,37
10,38
10,39
10,41
10,42
10,43
10,44
10,45
10,47
10,48
10,49
10,50
10,51
10,53
10,54
10,55
10,79
10,91
10,92
10,96
10,97
10,98
10,128
11,1
11,2
11,3
11,10
11,11
11,12
11,33
11,37
11,38
11,39
11,41
11,42
11,43
11,44
11,45
11,47
11,48
11,49
11,50
11,51
11,53
11,54
11,55
11,79
11,91
11,92
11,96
11,97
11,98
11,128
12,1
12,2
12,3
12,10
12,11
12,12
12,13
12,37
12,38
12,39
12,41
12,42
12,43
12,44
12,45
12,47
12,48
12,49
12,50
12,51
12,53
12,54
12,55
12,79
12,91
12,92
12,96
12,97
12,98
12,128
13,1
13,2
13,3
13,10
13,11
13,12
13,27
13,37
13,38
13,39
13,41
13,42
13,43
13,44
13,45
13,46
13,47
13,48
13,49
13,50
13,51
13,53
13,54
13,55
13,79
13,91
13,92
13,96
13,97
13,98
13,128
14,1
14,2
14,3
14,10
14,11
14,12
14,19
14,37
14,38
14,39
14,41
14,42
14,43
14,44
14,45
14,47
14,48
14,49
14,50
14,51
14,53
14,54
14,55
14,79
14,91
14,92
14,96
14,97
14,98
14,128
15,1
15,2
15,3
15,10
15,11
15,12
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,47
15,48
15,49
15,50
15,51
15,53
15,54
15,55
15,79
15,91
15,92
15,96
15,97
15,98
15,128
16,1
16,2
16,3
16,10
16,11
16,12
16,30
16,37
16,38
16,39
16,41
16,42
16,43
16,44
16,45
16,46
16,47
16,48
16,49
16,50
16,51
16,53
16,54
16,55
16,79
16,91
16,92
16,96
16,97
16,98
16,128
17,1
17,2
17,3
17,10
17,11
17,12
17,37
17,38
17,39
17,41
17,42
17,43
17,44
17,45
17,46
17,47
17,48
17,49
17,50
17,51
17,53
17,54
17,55
17,79
17,91
17,92
17,96
17,97
17,98
17,128
18,1
18,2
18,3
18,10
18,11
18,12
18,37
18,38
18,39
18,41
18,42
18,43
18,44
18,45
18,46
18,47
18,48
18,49
18,50
18,51
18,53
18,54
18,55
18,79
18,91
18,92
18,96
18,97
18,98
18,128
19,1
19,2
19,3
19,10
19,11
19,12
19,37
19,38
19,39
19,41
19,42
19,43
19,44
19,45
19,46
19,47
19,48
19,49
19,50
19,51
19,53
19,54
19,55
19,79
19,91
19,92
19,96
19,97
19,98
19,128
20,1
20,2
20,3
20,10
20,11
20,12
20,36
20,37
20,38
20,39
20,41
20,42
20,43
20,44
20,45
20,46
20,47
20,48
20,49
20,50
20,51
20,53
20,54
20,55
20,79
20,91
20,92
20,96
20,97
20,98
20,128
21,1
21,2
21,3
21,10
21,11
21,12
21,17
21,18
21,19
21,20
21,21
21,37
21,38
21,39
21,41
21,42
21,43
21,44
21,45
21,46
21,47
21,48
21,49
21,50
21,51
21,53
21,54
21,55
21,79
21,91
21,92
21,96
21,97
21,98
21,128
22,47
23,47
23,48
23,49
23,50
23,51
23,53
23,54
23,55
23,73
23,74
23,75
23,79
23,80
23,81
23,82
23,83
23,84
23,85
23,86
23,88
23,89
23,91
23,92
23,96
23,97
23,98
23,106
23,107
23,108
23,109
23,110
23,111
23,112
23,113
23,114
24,47
24,48
24,49
24,50
24,51
24,53
24,54
24,55
24,56
24,57
24,60
24,61
24,62
24,63
24,64
24,65
24,66
24,67
24,68
24,69
24,70
24,71
24,72
24,73
24,74
24,75
24,79
24,80
24,81
24,82
24,83
24,84
24,85
24,86
24,87
24,88
24,89
24,90
24,91
24,92
24,93
24,94
24,95
24,96
24,97
24,98
24,99
24,100
24,101
24,102
24,103
24,104
24,105
24,106
24,107
24,108
24,109
24,110
24,111
24,112
24,113
24,114
24,115
24,116
24,117
24,118
24,119
24,120
24,121
24,122
24,123
24,124
24,125
24,126
25,47
25,48
25,49
25,50
25,51
25,53
25,54
25,55
25,56
25,57
25,60
25,61
25,62
25,63
25,64
25,65
25,66
25,67
25,68
25,69
25,70
25,71
25,72
25,73
25,74
25,75
25,79
25,80
25,81
25,82
25,83
25,84
25,85
25,86
25,87
25,88
25,89
25,90
25,91
25,92
25,93
25,94
25,96
25,97
25,98
25,106
25,107
25,108
25,109
25,110
25,111
25,112
25,113
25,114
25,115
25,116
25,117
25,118
26,47
26,48
26,49
26,50
26,51
26,53
26,54
26,55
26,73
26,74
26,75
26,79
26,80
26,81
26,82
26,83
26,84
26,85
26,86
26,87
26,88
26,89
26,91
26,92
26,96
26,97
26,98
26,106
26,107
26,108
26,109
26,110
26,111
26,112
26,113
26,114
27,47
27,48
27,49
27,50
27,51
27,53
27,54
27,55
27,56
27,57
27,58
27,59
27,60
27,61
27,62
27,63
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,71
27,72
27,73
27,74
27,75
27,79
27,80
27,81
27,82
27,83
27,84
27,85
27,86
27,88
27,89
27,90
27,91
27,92
27,93
27,94
27,95
27,96
27,97
27,98
27,99
27,100
27,101
27,102
27,103
27,104
27,105
27,106
27,107
27,108
27,109
27,110
27,111
27,112
27,113
27,114
27,115
27,116
27,117
27,118
27,119
27,120
27,121
27,122
27,123
27,124
27,125
27,126
28,47
28,48
28,49
28,50
28,51
28,53
28,56
28,57
28,58
28,59
28,60
28,61
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,73
28,74
28,75
28,79
28,80
28,81
28,82
28,83
28,84
28,85
28,86
28,88
28,89
28,90
28,106
28,107
28,108
28,109
28,110
28,111
28,112
28,113
28,114
29,47
29,48
29,49
29,50
29,51
29,53
29,54
29,55
29,56
29,57
29,58
29,59
29,60
29,61
29,62
29,63
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,74
29,75
29,79
29,80
29,81
29,82
29,83
29,84
29,85
29,86
29,87
29,88
29,89
29,90
29,91
29,92
29,93
29,94
29,95
29,96
29,97
29,98
29,99
29,100
29,101
29,102
29,103
29,104
29,105
29,106
29,107
29,108
29,109
29,110
29,111
29,112
29,113
29,114
29,115
29,116
29,117
29,118
29,119
29,120
29,121
29,122
29,123
29,124
29,125
29,126
30,47
30,48
30,49
30,50
30,51
30,53
30,54
30,55
30,79
30,91
30,92
30,96
30,97
30,98
31,47
32,47
32,48
32,49
32,50
32,51
32,53
32,54
32,55
32,56
32,57
32,58
32,59
32,60
32,61
32,62
32,63
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
32,72
32,73
32,74
32,75
32,79
32,80
32,81
32,82
32,83
32,84
32,85
32,86
32,88
32,89
32,90
32,91
32,92
32,93
32,94
32,95
32,96
32,97
32,98
32,99
32,100
32,101
32,102
32,106
32,107
32,108
32,109
32,110
32,111
32,112
32,113
32,114
32,115
32,116
32,117
32,118
32,119
32,120
32,121
32,122
32,123
32,124
32,125
32,126
33,127
33,129
33,130
33,131
33,132
33,133
33,134
33,135
33,136
33,137
33,138
34,1
34,2
34,3
34,10
34,11
34,12
34,13
34,37
34,38
34,39
34,41
34,42
34,43
34,44
34,45
34,46
34,47
34,48
34,49
34,50
34,51
34,53
34,54
34,55
34,79
34,91
34,92
34,96
34,97
34,98
34,128
35,1
35,2
35,3
35,10
35,11
35,12
35,29
35,37
35,38
35,39
35,41
35,42
35,43
35,44
35,45
35,46
35,47
35,48
35,49
35,50
35,51
35,53
35,54
35,55
35,79
35,91
35,92
35,96
35,97
35,98
35,128
36,1
36,2
36,3
36,10
36,11
36,12
36,27
36,37
36,38
36,39
36,41
36,42
36,43
36,44
36,45
36,47
36,48
36,49
36,50
36,51
36,53
36,54
36,55
36,79
36,91
36,92
36,96
36,97
36,98
36,128
37,1
37,2
37,3
37,10
37,11
37,12
37,37
37,38
37,39
37,41
37,42
37,43
37,44
37,45
37,46
37,47
37,48
37,49
37,50
37,51
37,53
37,54
37,55
37,79
37,91
37,92
37,96
37,97
37,98
37,128
38,1
38,2
38,3
38,10
38,11
38,12
38,25
38,37
38,38
38,39
38,41
38,42
38,43
38,44
38,45
38,46
38,47
38,48
38,49
38,50
38,51
38,53
38,54
38,55
38,79
38,91
38,92
38,96
38,97
38,98
38,128
39,1
39,2
39,3
39,10
39,11
39,12
39,37
39,38
39,39
39,41
39,42
39,43
39,44
39,45
39,46
39,47
39,48
39,49
39,50
39,51
39,53
39,54
39,55
39,79
39,91
39,92
39,96
39,97
39,98
39,128
40,1
40,2
40,3
40,10
40,11
40,12
40,29
40,37
40,38
40,39
40,41
40,42
40,43
40,44
40,45
40,47
40,48
40,49
40,50
40,51
40,53
40,54
40,55
40,79
40,91
40,92
40,96
40,97
40,98
40,128
41,1
41,2
41,3
41,10
41,11
41,12
41,32
41,37
41,38
41,39
41,41
41,42
41,43
41,44
41,45
41,46
41,47
41,48
41,49
41,50
41,51
41,53
41,54
41,55
41,79
41,91
41,92
41,96
41,97
41,98
41,128
42,1
42,2
42,3
42,10
42,11
42,12
42,34
42,37
42,38
42,39
42,41
42,42
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,51
42,53
42,54
42,55
42,79
42,91
42,92
42,96
42,97
42,98
42,128
43,1
43,2
43,3
43,10
43,11
43,12
43,37
43,38
43,39
43,41
43,42
43,43
43,44
43,45
43,46
43,47
43,48
43,49
43,50
43,51
43,53
43,54
43,55
43,79
43,91
43,92
43,96
43,97
43,98
43,128
44,1
44,2
44,3
44,10
44,11
44,12
44,15
44,37
44,38
44,39
44,41
44,42
44,43
44,44
44,45
44,46
44,47
44,48
44,49
44,50
44,51
44,53
44,54
44,55
44,79
44,91
44,92
44,96
44,97
44,98
44,128
45,1
45,2
45,3
45,10
45,11
45,12
45,16
45,37
45,38
45,39
45,41
45,42
45,43
45,44
45,45
45,46
45,47
45,48
45,49
45,50
45,51
45,53
45,54
45,55
45,79
45,91
45,92
45,96
45,97
45,98
45,128
46,1
46,2
46,3
46,10
46,11
46,12
46,37
46,38
46,39
46,41
46,42
46,43
46,44
46,45
46,46
46,47
46,48
46,49
46,50
46,51
46,53
46,54
46,55
46,79
46,91
46,92
46,96
46,97
46,98
46,128
47,1
47,2
47,3
47,10
47,11
47,12
47,37
47,38
47,39
47,41
47,42
47,43
47,44
47,45
47,46
47,47
47,48
47,49
47,50
47,51
47,53
47,54
47,55
47,79
47,91
47,92
47,96
47,97
47,98
47,128
48,1
48,2
48,3
48,10
48,11
48,12
48,33
48,37
48,38
48,39
48,41
48,42
48,43
48,44
48,45
48,46
48,47
48,48
48,49
48,50
48,51
48,53
48,54
48,55
48,79
48,91
48,92
48,96
48,97
48,98
48,128
49,1
49,2
49,3
49,10
49,11
49,12
49,37
49,38
49,39
49,41
49,42
49,43
49,44
49,45
49,47
49,48
49,49
49,50
49,51
49,53
49,54
49,55
49,79
49,91
49,92
49,96
49,97
49,98
49,128
50,1
50,2
50,3
50,10
50,11
50,12
50,37
50,38
