CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
82,1,1,2,6,6,2,2,0,0,57,6
83,2,1,0,0,0,2,2,0,0,57,6
196,3,1,0,2,2,2,2,0,0,57,8
301,4,1,0,2,2,2,2,0,0,57,10
311,5,1,1,1,1,3,2,1,0,56,11
345,6,1,1,3,3,4,2,2,0,55,14
626,7,1,1,18,18,5,2,3,0,54,32
873,8,1,0,18,18,5,2,4,0,54,50
1203,9,1,0,18,18,5,2,5,0,54,68
1472,10,1,1,18,18,6,3,5,0,53,86
1650,11,1,0,18,18,6,4,5,0,53,104
1788,12,1,0,17,17,6,4,5,0,53,121
1918,13,1,1,18,18,7,5,5,0,52,139
2142,14,1,0,18,18,7,6,5,0,52,157
2361,15,1,0,18,18,7,7,5,0,52,175
2477,16,1,1,18,18,8,8,5,0,51,193
2578,17,1,0,18,18,8,9,5,0,51,211
2706,18,1,0,18,18,8,10,5,0,51,229
2844,19,1,0,18,18,8,11,5,0,51,247
2990,20,1,2,16,16,10,13,5,0,49,263
3126,21,1,0,18,18,10,13,6,0,49,281
3216,22,1,0,18,18,10,14,6,0,49,299
3321,23,1,0,18,18,10,15,6,0,49,317
3426,24,1,0,18,18,10,15,7,0,49,335
3588,25,1,0,18,18,10,15,8,0,49,353
3721,26,1,0,18,18,10,16,8,0,49,371
3827,27,1,0,18,18,10,16,9,0,49,389
3972,28,1,3,16,16,13,17,12,0,46,405
4093,29,1,0,18,18,13,18,12,0,46,423
4350,30,1,3,22,22,16,18,16,0,43,445
4542,31,1,2,12,12,18,20,16,0,41,457
4684,32,1,0,18,18,18,20,17,0,41,475
4842,33,1,0,16,16,18,22,17,0,41,491
5029,34,1,0,18,18,18,23,17,0,41,509
5150,35,1,1,17,17,19,23,22,0,40,526
5337,36,1,0,18,18,19,23,23,0,40,544
5514,37,1,0,18,18,19,24,23,0,40,562
5514,38,2,0,0,0,19,24,23,0,40,562
6242,39,2,2,12,12,21,26,23,0,38,574
6965,40,2,1,12,12,22,28,24,0,37,586
6966,41,2,0,0,0,22,28,24,0,37,586
6966,42,2,0,0,0,22,28,24,0,37,586
6966,43,2,0,0,0,22,28,24,0,37,586
6966,44,2,0,0,0,22,28,24,0,37,586
6966,45,2,0,0,0,22,28,24,0,37,586
6998,46,2,4,6,6,26,30,26,0,33,592
7141,47,2,0,18,18,26,30,27,0,33,610
7171,48,3,1,6,6,27,31,28,0,32,616
7171,49,3,0,0,0,27,31,28,0,32,616
7171,50,3,0,0,0,27,31,28,0,32,616
7171,51,3,0,0,0,27,31,28,0,32,616
7171,52,3,0,0,0,27,31,28,0,32,616
7172,53,3,0,0,0,27,31,28,0,32,616
7172,54,3,0,0,0,27,31,28,0,32,616
7277,55,3,0,18,18,27,31,29,0,32,634
7425,56,5,2,3,3,29,33,29,0,30,637
7431,57,8,1,1,1,30,33,30,0,29,638
7432,58,13,0,0,0,30,33,30,0,29,638
7432,59,14,0,0,0,30,33,30,0,29,638
7432,60,14,0,0,0,30,33,30,0,29,638
7432,61,14,0,0,0,30,33,30,0,29,638
7432,62,14,0,0,0,30,33,30,0,29,638
7433,63,15,0,0,0,30,33,30,0,29,638
7433,64,15,0,0,0,30,33,30,0,29,638
7433,65,15,0,0,0,30,33,30,0,29,638
7433,66,16,0,0,0,30,33,30,0,29,638
7433,67,16,0,0,0,30,33,30,0,29,638
7433,68,17,0,0,0,30,33,30,0,29,638
7434,69,18,0,0,0,30,33,30,0,29,638
7434,70,20,0,0,0,30,33,30,0,29,638
8124,71,29,2,11,11,32,35,31,0,27,649
8129,72,37,1,1,1,33,35,32,0,26,650
8221,73,70,0,2,2,33,35,32,0,26,652
