CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
23561,1,1,39,180,180,39,38,1,0,409,180
50651,2,1,5,184,184,44,79,2,0,404,364
50816,3,1,1,7,7,45,80,2,0,403,371
83394,4,1,34,180,180,79,149,3,0,369,551
83421,5,1,1,4,4,80,149,5,0,368,555
83456,6,1,1,4,4,81,149,7,0,367,559
83487,7,1,1,4,4,82,150,8,0,366,563
83984,8,1,13,36,36,95,154,18,0,353,599
84497,9,1,0,36,36,95,155,28,0,353,635
87924,10,1,13,36,36,108,159,38,1,340,671
88294,11,1,0,36,36,108,160,49,1,340,707
89013,12,1,7,35,35,115,160,56,2,333,742
89490,13,1,0,36,36,115,164,66,2,333,778
89927,14,1,0,36,36,115,165,76,2,333,814
90936,15,1,0,36,36,115,169,86,2,333,850
91748,16,1,0,36,36,115,170,96,2,333,886
92755,17,1,5,16,16,120,171,100,2,328,902
93464,18,1,2,12,12,122,172,103,2,326,914
95125,19,1,2,18,18,124,173,107,2,324,932
95889,20,1,4,12,12,128,174,110,2,320,944
97070,21,1,3,18,18,131,175,114,2,317,962
137684,22,2,2,180,180,133,210,115,6,315,1142
137942,23,2,0,36,36,133,210,125,6,315,1178
138418,24,2,1,35,35,134,211,132,6,314,1213
139157,25,2,2,20,20,136,211,138,6,312,1233
139325,26,2,2,4,4,138,212,139,6,310,1237
140315,27,2,1,20,20,139,213,144,6,309,1257
140998,28,2,2,16,16,141,214,148,6,307,1273
141944,29,2,2,20,20,143,214,154,6,305,1293
142116,30,2,2,4,4,145,215,155,6,303,1297
143003,31,2,1,20,20,146,216,160,6,302,1317
173491,32,3,1,217,217,147,262,161,6,301,1534
175300,33,3,2,25,25,149,264,162,6,299,1559
176006,34,4,0,36,36,149,264,172,6,299,1595
176370,35,4,0,36,36,149,264,182,6,299,1631
177106,36,4,0,36,36,149,264,193,6,299,1667
185356,37,6,17,65,65,166,294,193,6,282,1732
186229,38,6,2,8,8,168,295,195,6,280,1740
210233,39,7,2,162,162,170,349,196,6,278,1902
210837,40,7,0,8,8,170,349,197,6,278,1910
211315,41,7,2,8,8,172,350,199,6,276,1918
251384,42,9,6,191,191,178,423,201,7,270,2109
251890,43,9,0,8,8,178,423,203,7,270,2117
256180,44,41,11,42,42,189,434,213,7,259,2159
260673,45,43,12,42,42,201,445,224,8,247,2201
264764,46,43,1,42,42,202,448,234,9,246,2243
268936,47,44,5,42,42,207,459,244,10,241,2285
270053,48,44,3,17,17,210,462,244,10,238,2302
274250,49,45,3,35,35,213,465,251,11,235,2337
277043,50,46,0,20,20,213,465,257,12,235,2357
278175,51,47,0,20,20,213,465,263,12,235,2377
359854,52,47,4,181,181,217,536,267,14,231,2558
360325,53,48,0,8,8,217,536,268,14,231,2566
360795,54,49,0,8,8,217,536,269,14,231,2574
361255,55,51,0,8,8,217,536,270,14,231,2582
361681,56,51,0,8,8,217,536,272,14,231,2590
362166,57,52,0,8,8,217,536,273,14,231,2598
362642,58,52,0,8,8,217,536,274,14,231,2606
363512,59,53,0,8,8,217,536,275,15,231,2614
363964,60,57,0,8,8,217,536,277,15,231,2622
364181,61,62,0,4,4,217,536,278,15,231,2626
400495,62,200,7,216,216,224,543,324,15,224,2842
443189,63,218,9,162,162,233,602,325,18,215,3004
465398,64,278,35,156,156,268,673,329,18,180,3160
524615,65,296,2,156,156,270,715,357,18,178,3316
854352,66,368,1,193,193,271,762,359,42,177,3509
1202752,67,443,0,197,197,271,790,361,59,177,3706
1360693,68,595,6,219,219,277,867,367,68,171,3925
1711755,69,2353,0,193,193,277,869,369,96,171,4118
