CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
813,1,1,11,62,62,11,4,7,0,2075,62
5702,2,1,74,357,357,85,4,86,2,2001,419
5884,3,1,1,23,23,86,5,88,2,2000,442
7103,4,1,22,125,125,108,18,110,2,1978,567
7691,5,1,30,54,54,138,38,121,3,1948,621
10847,6,1,93,268,268,231,150,174,4,1855,889
12362,7,1,8,116,116,239,150,203,6,1847,1005
14948,8,1,9,228,228,248,197,254,6,1838,1233
17951,9,1,133,290,290,381,339,322,8,1705,1523
19117,10,1,1,125,125,382,397,344,8,1704,1648
24379,11,1,55,409,409,437,558,492,11,1649,2057
24640,12,1,2,32,32,439,570,494,11,1647,2089
29026,13,1,0,363,363,439,570,573,13,1647,2452
29238,14,1,1,23,23,440,571,575,13,1646,2475
34150,15,1,1,456,456,441,770,703,16,1645,2931
36400,16,1,1,170,170,442,770,750,17,1644,3101
38183,17,1,0,153,153,442,841,787,18,1644,3254
40016,18,1,2,157,157,444,848,815,18,1642,3411
40297,19,1,0,28,28,444,859,817,18,1642,3439
45805,20,1,27,386,386,471,1053,897,24,1615,3825
49593,21,1,0,358,358,471,1199,995,27,1615,4183
50587,22,1,8,82,82,479,1225,1008,28,1607,4265
52286,23,1,0,171,171,479,1298,1041,28,1607,4436
54087,24,1,0,167,167,479,1375,1074,28,1607,4603
55075,25,1,1,82,82,480,1396,1087,29,1606,4685
55395,26,1,1,31,31,481,1397,1090,29,1605,4716
59017,27,1,3,262,262,484,1452,1155,30,1602,4978
59454,28,1,6,48,48,490,1458,1162,30,1596,5026
59651,29,1,8,25,25,498,1466,1169,30,1588,5051
59829,30,1,1,14,14,499,1467,1176,30,1587,5065
68090,31,1,30,277,277,529,1493,1229,72,1557,5342
68262,32,1,17,39,39,546,1506,1233,72,1540,5381
68517,33,1,19,39,39,565,1525,1237,72,1521,5420
68950,34,2,1,39,39,566,1533,1244,72,1520,5459
69182,35,2,2,38,38,568,1542,1252,72,1518,5497
69389,36,2,13,38,38,581,1555,1259,72,1505,5535
71473,37,2,2,144,144,583,1583,1291,74,1503,5679
73302,38,2,2,138,138,585,1585,1322,74,1501,5817
75757,39,2,0,178,178,585,1658,1361,75,1501,5995
78986,40,2,0,260,260,585,1773,1419,76,1501,6255
79502,41,2,20,69,69,605,1822,1424,76,1481,6324
79601,42,2,22,25,25,627,1843,1424,77,1459,6349
79712,43,3,2,22,22,629,1851,1431,77,1457,6371
80388,44,3,0,69,69,629,1902,1436,77,1457,6440
81847,45,4,13,133,133,642,1908,1475,78,1444,6573
82656,46,4,2,69,69,644,1959,1480,78,1442,6642
98028,47,8,833,1054,1054,1477,2749,1511,98,609,7696
108587,48,13,28,644,644,1505,3047,1631,101,581,8340
134936,49,15,13,1063,1063,1518,3193,1753,128,568,9403
375469,50,126,3,277,277,1521,3221,1807,169,565,9680
528880,51,171,34,284,284,1555,3358,1872,180,531,9964
616113,52,209,16,326,326,1571,3476,1989,187,515,10290
646498,53,274,2,162,162,1573,3505,2028,192,513,10452
693822,54,318,1,376,376,1574,3661,2118,192,512,10828
1105892,55,429,27,359,359,1601,3815,2186,198,485,11187
1410098,56,1118,17,329,329,1618,3961,2268,202,468,11516
