CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
119,1,1,2,3,3,2,2,0,0,200,3
862,2,1,8,14,14,10,8,1,1,192,17
1243,3,1,9,14,14,19,12,6,1,183,31
1653,4,1,9,14,14,28,16,11,1,174,45
1679,5,1,1,1,1,29,17,11,1,173,46
1816,6,1,4,5,5,33,18,14,1,169,51
7688,7,1,28,63,63,61,36,30,1,141,114
14238,8,1,7,80,80,68,56,46,1,134,194
18289,9,1,4,47,47,72,63,51,1,130,241
25002,10,1,1,80,80,73,83,67,1,129,321
29811,11,1,0,51,51,73,93,77,1,129,372
35512,12,1,2,63,63,75,109,93,1,127,435
40817,13,1,2,61,61,77,125,109,1,125,496
47349,14,1,6,68,68,83,145,125,1,119,564
56405,15,1,18,98,98,101,179,141,1,101,662
57550,16,1,1,13,13,102,180,146,1,100,675
62680,17,1,1,53,53,103,191,156,1,99,728
63999,18,1,0,13,13,103,192,157,1,99,741
69969,19,1,2,63,63,105,208,173,1,97,804
76152,20,1,0,63,63,105,222,189,1,97,867
86179,21,1,8,98,98,113,256,205,1,89,965
87618,22,1,0,13,13,113,257,210,1,89,978
94147,23,1,1,63,63,114,271,227,1,88,1041
96748,24,1,1,27,27,115,274,227,1,87,1068
97278,25,1,2,10,10,117,276,227,1,85,1078
97422,26,1,1,6,6,118,277,227,1,84,1084
97560,27,1,0,6,6,118,277,227,1,84,1090
97584,28,1,1,1,1,119,277,228,1,83,1091
97741,29,1,5,6,6,124,279,231,1,78,1097
97898,30,1,1,6,6,125,282,231,1,77,1103
98226,31,1,2,10,10,127,283,232,1,75,1113
99033,32,1,8,16,16,135,291,232,1,67,1129
99535,33,1,0,14,14,135,293,232,1,67,1143
99536,34,2,0,0,0,135,293,232,1,67,1143
108151,35,2,1,80,80,136,313,248,1,66,1223
115238,36,2,4,66,66,140,331,264,1,62,1289
122967,37,2,0,68,68,140,350,280,1,62,1357
129064,38,2,3,63,63,143,367,296,1,59,1420
134415,39,2,4,66,66,147,385,312,1,55,1486
142553,40,2,7,98,98,154,419,328,1,48,1584
147880,41,2,0,61,61,154,437,340,1,48,1645
148377,42,2,0,7,7,154,437,340,1,48,1652
148782,43,2,4,11,11,158,441,340,1,44,1663
148809,44,2,1,1,1,159,441,341,1,43,1664
148966,45,2,1,6,6,160,442,341,1,42,1670
148989,46,2,0,1,1,160,442,341,1,42,1671
149012,47,2,0,1,1,160,442,342,1,42,1672
149012,48,2,0,0,0,160,442,342,1,42,1672
149334,49,2,2,11,11,162,444,342,1,40,1683
149335,50,3,0,0,0,162,444,342,1,40,1683
149358,51,3,0,1,1,162,444,342,1,40,1684
149554,52,3,3,7,7,165,444,345,1,37,1691
150117,53,3,3,15,15,168,452,345,1,34,1706
154761,54,7,1,53,53,169,463,355,1,33,1759
155087,55,8,2,10,10,171,464,356,1,31,1769
163738,56,15,0,94,94,171,493,372,1,31,1863
164224,57,24,2,13,13,173,497,373,2,29,1876
