TestNo,MutantNo
1,1
1,3
1,4
1,5
1,363
1,364
1,365
1,366
1,367
1,368
1,369
1,370
1,380
1,381
1,382
1,383
1,384
1,385
1,386
1,387
1,388
1,389
2,1
2,3
2,4
2,5
2,10
2,11
2,12
2,363
2,364
2,365
2,366
2,367
2,368
2,369
2,370
2,380
2,381
2,382
2,383
2,384
2,385
2,386
2,387
2,388
2,389
3,1
3,4
3,5
3,6
3,10
3,11
3,12
3,363
3,364
3,365
3,366
3,367
3,368
3,369
3,370
3,380
3,381
3,382
3,383
3,384
3,385
3,386
3,387
3,388
3,389
4,1
4,4
4,5
4,10
4,11
4,12
4,363
4,364
4,365
4,366
4,367
4,368
4,369
4,370
4,380
4,381
4,382
4,383
4,384
4,385
4,386
4,387
4,388
4,389
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,211
5,215
5,216
5,217
5,218
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,363
5,364
5,380
5,381
5,382
5,383
5,384
5,385
5,386
5,387
5,388
5,389
6,47
6,48
6,49
6,50
6,51
6,52
6,53
6,54
6,55
6,56
6,57
6,211
6,215
6,363
6,364
6,380
6,381
6,382
6,383
6,384
6,385
6,386
6,387
6,388
6,389
7,255
7,365
7,366
7,367
7,368
7,369
7,370
7,380
7,381
7,382
7,383
7,384
7,385
7,386
7,387
7,388
7,389
8,260
8,365
8,366
8,367
8,368
8,369
8,370
8,380
8,381
8,382
8,383
8,384
8,385
8,386
8,387
8,388
8,389
9,260
9,365
9,366
9,367
9,368
9,369
9,370
9,380
9,381
9,382
9,383
9,384
9,385
9,386
9,387
9,388
9,389
10,16
10,17
10,260
10,261
10,262
10,263
10,264
10,358
10,359
10,360
10,362
10,363
10,364
10,365
10,366
10,367
10,368
10,369
10,370
10,380
10,381
10,382
10,383
10,384
10,385
10,386
10,387
10,388
10,389
11,260
11,261
11,262
11,365
11,366
11,367
11,368
11,369
11,370
11,380
11,381
11,382
11,383
11,384
11,385
11,386
11,387
11,388
11,389
12,265
12,365
12,366
12,367
12,368
12,369
12,370
12,380
12,381
12,382
12,383
12,384
12,385
12,386
12,387
12,388
12,389
13,265
13,365
13,366
13,367
13,368
13,369
13,370
13,380
13,381
13,382
13,383
13,384
13,385
13,386
13,387
13,388
13,389
14,265
14,266
14,267
14,268
14,269
14,270
14,271
14,272
14,273
14,274
14,275
14,276
14,358
14,359
14,360
14,362
14,363
14,364
14,365
14,366
14,367
14,368
14,369
14,370
14,380
14,381
14,382
14,383
14,384
14,385
14,386
14,387
14,388
14,389
15,16
15,17
15,265
15,266
15,267
15,268
15,269
15,270
15,271
15,272
15,273
15,274
15,275
15,276
15,358
15,359
15,360
15,362
15,363
15,364
15,365
15,366
15,367
15,368
15,369
15,370
15,380
15,381
15,382
15,383
15,384
15,385
15,386
15,387
15,388
15,389
16,16
16,17
16,265
16,266
16,267
16,268
16,269
16,270
16,271
16,272
16,273
16,274
16,275
16,276
16,358
16,359
16,360
16,362
16,363
16,364
16,365
16,366
16,367
16,368
16,369
16,370
16,380
16,381
16,382
16,383
16,384
16,385
16,386
16,387
16,388
16,389
17,265
17,271
17,272
17,273
17,274
17,365
17,366
17,367
17,368
17,369
17,370
17,380
17,381
17,382
17,383
17,384
17,385
17,386
17,387
17,388
17,389
18,16
18,17
18,265
18,266
18,267
18,268
18,269
18,270
18,271
18,272
18,273
18,274
18,275
18,276
18,358
18,359
18,360
18,362
18,363
18,364
18,365
18,366
18,367
18,368
18,369
18,370
18,380
18,381
18,382
18,383
18,384
18,385
18,386
18,387
18,388
18,389
19,47
19,48
19,49
19,50
19,51
19,52
19,53
19,54
19,55
19,56
19,57
20,107
20,363
20,364
20,380
20,381
20,382
20,383
20,384
20,385
20,386
20,387
20,388
20,389
21,106
21,146
21,179
21,180
21,181
21,182
21,183
22,56
22,57
22,58
22,59
22,62
22,63
22,65
22,67
22,68
22,69
22,70
22,71
22,72
22,73
22,75
22,76
22,77
22,78
22,79
22,80
22,82
22,102
22,106
22,107
22,108
22,109
22,117
22,118
22,119
22,120
22,121
22,147
22,151
22,152
22,153
22,154
22,155
22,156
22,157
22,158
22,159
22,160
22,161
22,162
22,163
22,164
22,363
22,364
22,380
22,381
22,382
22,383
22,384
22,385
22,386
22,387
22,388
22,389
23,56
23,57
23,58
23,59
23,62
23,63
23,65
23,67
23,68
23,69
23,70
23,71
23,72
23,73
23,75
23,76
23,77
23,78
23,79
23,80
23,82
23,102
23,103
23,104
23,106
23,107
23,108
23,109
23,117
23,118
23,119
23,120
23,121
23,147
23,151
23,152
23,153
23,154
23,155
23,156
23,157
23,158
23,159
23,160
23,161
23,162
23,163
23,164
23,363
23,364
23,380
23,381
23,382
23,383
23,384
23,385
23,386
23,387
23,388
23,389
24,56
24,57
24,82
24,84
24,85
24,106
24,125
24,126
24,127
24,128
24,129
24,130
24,131
24,132
24,133
24,134
24,135
24,136
24,137
24,138
24,139
24,140
24,141
24,142
24,143
24,144
24,145
24,166
24,168
24,171
24,172
24,173
