CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
0,1,1,0,0,0,0,0,0,0,884,0
5108,2,1,40,131,131,40,20,20,0,844,131
5203,3,1,0,18,18,40,20,23,0,844,149
5244,4,1,4,8,8,44,24,23,0,840,157
5379,5,1,2,18,18,46,26,23,0,838,175
5467,6,1,5,13,13,51,27,27,0,833,188
5701,7,1,5,33,33,56,35,29,0,828,221
5943,8,1,2,33,33,58,37,31,0,826,254
6103,9,1,0,19,19,58,37,34,0,826,273
6141,10,1,0,6,6,58,37,34,0,826,279
6407,11,1,2,37,37,60,37,42,0,824,316
6679,12,1,0,37,37,60,37,50,0,824,353
7002,13,1,9,40,40,69,46,58,0,815,393
7235,14,1,5,30,30,74,53,62,0,810,423
7455,15,1,0,30,30,74,55,66,0,810,453
11388,16,1,30,137,137,104,88,80,3,780,590
15230,17,1,9,137,137,113,126,94,6,771,727
16429,18,1,2,41,41,115,126,105,6,769,768
23695,19,1,3,92,92,118,132,119,14,766,860
35935,20,1,2,245,245,120,140,145,18,764,1105
36417,21,1,0,27,27,120,140,152,19,764,1132
49972,22,1,25,198,198,145,171,170,27,739,1330
60981,23,1,6,148,148,151,187,190,35,733,1478
66057,24,1,0,115,115,151,187,208,35,733,1593
67768,25,1,8,55,55,159,195,222,35,725,1648
70221,26,1,0,79,79,159,195,242,35,725,1727
82229,27,1,4,152,152,163,211,264,44,721,1879
86023,28,1,14,113,113,177,239,284,44,707,1992
86689,29,1,2,29,29,179,241,291,44,705,2021
96427,30,1,0,126,126,179,255,305,52,705,2147
105781,31,1,4,149,149,183,268,319,52,701,2296
130114,32,1,16,287,287,199,304,348,65,685,2583
130468,33,1,0,25,25,199,306,355,66,685,2608
132040,34,1,2,75,75,201,309,369,66,683,2683
132415,35,1,0,27,27,201,309,376,66,683,2710
135211,36,1,9,119,119,210,343,399,67,674,2829
143893,37,1,29,243,243,239,384,428,72,645,3072
145099,38,1,0,37,37,239,384,438,73,645,3109
146631,39,1,0,63,63,239,392,452,73,645,3172
148668,40,1,0,87,87,239,404,470,73,645,3259
150774,41,1,1,87,87,240,417,488,73,644,3346
158201,42,1,0,222,222,240,442,515,78,644,3568
159801,43,1,0,53,53,240,442,525,79,644,3621
168328,44,1,0,225,225,240,456,551,84,644,3846
179475,45,1,0,162,162,240,469,571,94,644,4008
187679,46,1,0,106,106,240,475,585,102,644,4114
193304,47,1,0,106,106,240,485,605,103,644,4220
215274,48,1,5,272,272,245,507,633,116,639,4492
246970,49,1,16,307,307,261,560,659,133,623,4799
253390,50,1,0,99,99,261,567,673,142,623,4898
254658,51,1,1,62,62,262,574,687,142,622,4960
266191,52,1,12,198,198,274,610,705,150,610,5158
266500,53,1,6,43,43,280,616,709,150,604,5201
266748,54,1,2,36,36,282,617,712,150,602,5237
266992,55,1,3,36,36,285,619,716,150,599,5273
267296,56,1,1,36,36,286,621,719,150,598,5309
267926,57,1,3,78,78,289,633,723,150,595,5387
268188,58,1,4,45,45,293,639,727,150,591,5432
268811,59,1,1,83,83,294,645,731,150,590,5515
268975,60,1,0,24,24,294,645,734,150,590,5539
269471,61,1,0,78,78,294,673,738,150,590,5617
269650,62,1,0,24,24,294,673,741,150,590,5641
269897,63,1,3,36,36,297,677,744,150,587,5677
270418,64,1,1,78,78,298,689,748,150,586,5755
270912,65,1,0,78,78,298,707,752,150,586,5833
271216,66,1,6,43,43,304,716,756,150,580,5876
271579,67,1,5,55,55,309,721,760,150,575,5931
271680,68,1,5,25,25,314,726,760,150,570,5956
271754,69,1,17,25,25,331,747,760,150,553,5981
271875,70,1,0,25,25,331,768,760,150,553,6006
271959,71,1,4,28,28,335,790,760,150,549,6034
272086,72,1,1,28,28,336,812,760,150,548,6062
272306,73,1,4,39,39,340,831,768,150,544,6101
272377,74,1,0,25,25,340,852,768,150,544,6126
272482,75,1,0,25,25,340,873,768,150,544,6151
272561,76,1,0,28,28,340,895,768,150,544,6179
272669,77,1,0,28,28,340,917,768,150,544,6207
272880,78,1,1,36,36,341,937,772,150,543,6243
272963,79,1,1,28,28,342,957,772,150,542,6271
273674,80,1,0,83,83,342,963,778,150,542,6354
274031,81,1,0,56,56,342,973,780,150,542,6410
274241,82,1,0,26,26,342,974,782,150,542,6436
274586,83,1,0,56,56,342,1002,784,150,542,6492
274686,84,1,1,18,18,343,1004,786,150,541,6510
274872,85,1,20,28,28,363,1024,788,150,521,6538
274917,86,1,0,8,8,363,1024,790,150,521,6546
274961,87,1,0,8,8,363,1024,792,150,521,6554
275139,88,1,0,26,26,363,1030,794,150,521,6580
275286,89,1,4,23,23,367,1034,796,150,517,6603
275442,90,1,2,29,29,369,1037,798,150,515,6632
275552,91,1,0,14,14,369,1039,800,150,515,6646
275896,92,1,0,56,56,369,1069,802,150,515,6702
276226,93,1,2,56,56,371,1094,804,150,513,6758
276269,94,1,2,8,8,373,1096,804,150,511,6766
276596,95,1,1,54,54,374,1117,806,150,510,6820
276733,96,1,0,18,18,374,1119,808,150,510,6838
276812,97,1,2,12,12,376,1120,812,150,508,6850
276982,98,1,7,32,32,383,1127,814,150,501,6882
277174,99,1,1,24,24,384,1128,816,150,500,6906
277332,100,1,3,24,24,387,1131,818,150,497,6930
277523,101,1,1,24,24,388,1133,821,150,496,6954
277678,102,1,1,24,24,389,1136,823,150,495,6978
277845,103,1,2,26,26,391,1140,825,150,493,7004
278046,104,1,2,32,32,393,1142,827,150,491,7036
278149,105,1,0,18,18,393,1144,829,150,491,7054
278322,106,1,0,24,24,393,1149,831,150,491,7078
278436,107,1,0,14,14,393,1151,833,150,491,7092
278458,108,1,2,4,4,395,1153,833,150,489,7096
278534,109,1,0,14,14,395,1155,835,150,489,7110
278567,110,1,0,1,1,395,1155,835,150,489,7111
278668,111,1,0,3,3,395,1157,835,150,489,7114
278668,112,1,0,0,0,395,1157,835,150,489,7114
278668,113,1,0,0,0,395,1157,835,150,489,7114
278668,114,1,0,0,0,395,1157,835,150,489,7114
278668,115,1,0,0,0,395,1157,835,150,489,7114
278668,116,1,0,0,0,395,1157,835,150,489,7114
278669,117,1,0,0,0,395,1157,835,150,489,7114
278669,118,1,0,0,0,395,1157,835,150,489,7114
278669,119,1,0,0,0,395,1157,835,150,489,7114
278669,120,1,0,0,0,395,1157,835,150,489,7114
278669,121,1,0,0,0,395,1157,835,150,489,7114
278669,122,1,0,0,0,395,1157,835,150,489,7114
278673,123,1,0,1,1,395,1157,836,150,489,7115
278673,124,1,0,0,0,395,1157,836,150,489,7115
288388,125,2,22,164,164,417,1187,856,155,467,7279
289406,126,2,2,7,7,419,1188,858,155,465,7286
298780,127,2,3,147,147,422,1209,878,158,462,7433
317301,128,2,6,286,286,428,1242,905,169,456,7719
317316,129,2,1,2,2,429,1243,905,170,455,7721
317400,130,2,4,14,14,433,1247,905,170,451,7735
317680,131,2,0,30,30,433,1260,909,170,451,7765
346330,132,2,1,307,307,434,1317,935,186,450,8072
375554,133,2,0,317,317,434,1355,965,201,450,8389
398160,134,2,13,317,317,447,1423,1001,217,437,8706
416496,135,2,0,197,197,447,1450,1021,229,437,8903
423516,136,2,0,108,108,447,1450,1037,237,437,9011
426950,137,2,0,90,90,447,1455,1057,238,437,9101
452862,138,2,0,287,287,447,1478,1085,252,437,9388
463091,139,2,0,149,149,447,1490,1105,262,437,9537
471131,140,2,0,110,110,447,1490,1123,270,437,9647
471131,141,2,0,0,0,447,1490,1123,270,437,9647
471478,142,2,2,28,28,449,1491,1128,271,435,9675
471478,143,2,0,0,0,449,1491,1128,271,435,9675
471563,144,2,2,12,12,451,1492,1132,271,433,9687
471628,145,2,0,2,2,451,1492,1132,271,433,9689
471638,146,2,0,2,2,451,1493,1132,271,433,9691
471643,147,3,1,1,1,452,1494,1132,271,432,9692
471778,148,3,1,17,17,453,1495,1134,271,431,9709
487672,149,3,4,151,151,457,1495,1169,291,427,9860
497709,150,3,0,134,134,457,1517,1183,299,427,9994
513331,151,3,0,206,206,457,1517,1207,308,427,10200
525572,152,3,0,241,241,457,1517,1234,313,427,10441
525947,153,3,4,40,40,461,1537,1237,314,423,10481
525986,154,3,1,1,1,462,1538,1237,314,422,10482
546544,155,4,17,273,273,479,1571,1276,320,405,10755
546544,156,4,0,0,0,479,1571,1276,320,405,10755
546552,157,4,0,1,1,479,1571,1276,320,405,10756
569091,158,4,0,272,272,479,1596,1304,334,405,11028
569091,159,4,0,0,0,479,1596,1304,335,405,11028
569099,160,4,0,2,2,479,1596,1304,335,405,11030
581522,161,5,0,249,249,479,1602,1341,340,405,11279
581901,162,5,1,55,55,480,1606,1347,341,404,11334
582089,163,5,0,36,36,480,1626,1351,341,404,11370
582306,164,5,0,24,24,480,1631,1353,341,404,11394
582306,165,5,0,0,0,480,1631,1353,341,404,11394
582306,166,6,0,0,0,480,1631,1353,341,404,11394
582355,167,6,0,9,9,480,1631,1355,341,404,11403
583263,168,6,0,29,29,480,1631,1363,341,404,11432
583649,169,6,0,45,45,480,1637,1367,341,404,11477
585211,170,6,0,6,6,480,1639,1367,344,404,11483
585978,171,7,0,56,56,480,1647,1375,344,404,11539
598490,172,7,0,64,64,480,1647,1381,348,404,11603
598506,173,7,0,1,1,480,1647,1381,348,404,11604
598680,174,7,0,24,24,480,1652,1383,348,404,11628
616000,175,8,0,273,273,480,1675,1422,354,404,11901
628627,176,9,0,179,179,480,1679,1442,362,404,12080
642702,177,11,0,150,150,480,1689,1456,373,404,12230
674597,178,14,2,350,350,482,1767,1487,388,402,12580
740853,179,17,0,263,263,482,1790,1513,402,402,12843
778517,180,18,0,234,234,482,1790,1541,409,402,13077
839122,181,24,0,263,263,482,1813,1567,423,402,13340
839273,182,26,0,5,5,482,1816,1567,424,402,13345
842700,183,27,6,61,61,488,1816,1583,424,396,13406
905577,184,28,0,263,263,488,1839,1609,439,396,13669
905579,185,29,0,0,0,488,1839,1609,439,396,13669
910606,186,33,0,137,137,488,1868,1623,442,396,13806
918697,187,42,0,107,107,488,1878,1637,450,396,13913
984238,188,52,0,263,263,488,1901,1663,464,396,14176
995481,189,57,0,125,125,488,1914,1683,473,396,14301
1006074,190,67,0,150,150,488,1935,1704,478,396,14451
1219272,191,69,0,316,316,488,1958,1742,508,396,14767
1290543,192,113,5,449,449,493,2009,1783,522,391,15216
1290864,193,162,1,2,2,494,2009,1784,523,390,15218
1295947,194,189,5,28,28,499,2021,1784,523,385,15246
1541846,195,231,1,327,327,500,2035,1835,542,384,15573
2063291,196,337,37,346,346,537,2116,1872,634,347,15919
2870921,197,437,106,276,276,643,2159,1913,826,241,16195
3288042,198,784,5,496,496,648,2159,1976,922,236,16691
11675169,199,4934,108,498,498,756,2159,2036,1155,128,17189
